Module,Page/Route,Component/Button,Before (Sebelumnya),After (Sekarang),Severity,Query Keys Invalidated
Inventory,/inventory/fabric-rolls,Tombol Terima (Fabric Roll Receive),Saved to DB but product list & warehouse stock & dashboard KPIs did NOT refresh. Manual reload required.,Instantly refreshes products + warehouses + inventoryDashboard KPIs.,High,products.all; warehouses.all; inventoryDashboard.all
Inventory,/inventory/transfers,Tombol Transfer (Create Transfer),Transfer created but transfer list & stock movements & warehouse levels stayed stale. Source warehouse showed old quantity.,Refreshes stockTransfers + stockMovements + warehouses + inventoryDashboard.,High,stockTransfers.all; stockMovements.all; warehouses.all; inventoryDashboard.all
Inventory,/inventory/products/new,Tombol Buat Produk (Product Create),Product created but categories page didn't show new product count.,Creating product also refreshes categories list.,Medium,categories.all
Inventory,/inventory/transfers,Tombol Approve/Reject (Stock Transfer List),ZERO cache invalidation — 5 missing. After approving transfer nothing updated: not list not stock not movements not warehouses not dashboard.,All 5 query keys invalidated on approve/reject.,Critical,stockTransfers.all; products.all; stockMovements.all; warehouses.all; inventoryDashboard.all
Inventory,/inventory (alerts),Tombol Buat PR (Purchase Request from alerts),ZERO invalidation. Creating PR from low-stock alerts didn't update procurement dashboard or inventory alerts or product status.,Refreshes purchaseRequests + procurementDashboard + inventoryDashboard + products.,Critical,purchaseRequests.all; procurementDashboard.all; inventoryDashboard.all; products.all
Inventory,/inventory,Tombol Restock & Toggle Alert (Kanban Board),Restock and alert toggle on kanban cards didn't refresh procurement or inventory dashboards.,Restock refreshes purchaseRequests + procurementDashboard + inventoryDashboard. Alert toggle refreshes inventoryDashboard.,Medium,purchaseRequests.all; procurementDashboard.all; inventoryDashboard.all
Inventory,/inventory (popover),Tombol Update & Delete (Product Quick View),Update and Delete in product quick view didn't refresh dashboard KPIs or categories.,Update refreshes inventoryDashboard + categories. Delete refreshes inventoryDashboard.,Medium,inventoryDashboard.all; categories.all
Inventory,/inventory/warehouses,Tombol Simpan (Warehouse Create/Edit),Creating or editing warehouse didn't refresh inventory dashboard KPIs.,Both create and edit refresh inventoryDashboard.,Low,inventoryDashboard.all
Inventory,/inventory/audit,Tombol Complete (Stock Audit),Completing a stock audit didn't refresh products or adjustments or movements or dashboard.,All 4 query keys invalidated.,Medium,inventoryDashboard.all; products.all; adjustments.all; stockMovements.all
Inventory,/inventory/categories,Tombol Buat Kategori & Assign/Remove Product,Creating category didn't refresh product list or dashboard. Assigning/removing products didn't refresh product data.,Category mutations refresh products + inventoryDashboard. Product assignments refresh products.all.,Medium,products.all; inventoryDashboard.all
Sales,/sales/quotations/new,Tombol Simpan Penawaran (Quotation Create),ZERO cache invalidation. Creating quotation didn't update quotation list or sales dashboard or sales page. Navigate back saw old list.,Refreshes quotations + salesDashboard + salesPage.,Critical,quotations.all; salesDashboard.all; salesPage.all
Sales,/sales/orders/new,Tombol Buat Pesanan (Sales Order Create),ZERO invalidation. Sales orders list & quotations & dashboard & customer data all stayed stale.,Refreshes salesOrders + quotations + salesDashboard + salesPage + customers.,Critical,salesOrders.all; quotations.all; salesDashboard.all; salesPage.all; customers.all
Sales,/sales/customers/new,Tombol Simpan Pelanggan (Customer Create),ZERO invalidation. New customer didn't show on sales dashboard or sales page until manual reload.,Refreshes customers + salesDashboard + salesPage.,Critical,customers.all; salesDashboard.all; salesPage.all
Sales,/sales/leads/new,Tombol Simpan Lead (Lead Create),ZERO invalidation. Dashboard wouldn't update after creating lead.,Refreshes leads + salesDashboard + salesPage.,Critical,leads.all; salesDashboard.all; salesPage.all
Sales,/sales/quotations,Drag Card & Convert (Quotation Kanban),Dragging quotation card (status change) or converting to order didn't refresh dashboard or customer data.,Status change refreshes salesDashboard + salesPage. Convert refreshes salesPage + customers.,Medium,salesDashboard.all; salesPage.all; customers.all
Sales,/sales (dialog),Tombol Buat Order Cepat (Quick Order),Quick order button didn't refresh dashboard or customer data.,Refreshes salesDashboard + salesPage + customers.,Medium,salesDashboard.all; salesPage.all; customers.all
